UserId,RewardPoints,TotalAmountSpent,PurchaseFrequency,ReviewCount,overallAverageRatings,ReviewComments
1000,293,1133,9,5,4.8,Affordable prices and good quality products
1003,116,454,4,3,5.0,Product is available only in limited colors
1008,264,855,8,4,2.75,The shipment was delayed
1000,293,1133,9,5,4.8,Affordable prices and good quality products
1003,116,454,4,3,5.0,Affordable prices and good quality products
1004,249,805,6,3,3.33,Product is available only in limited colors
1005,231,584,6,4,3.0,The shipment was delayed
1006,155,876,6,4,2.5,The shipment was delayed
1008,264,855,8,4,2.75,The shipment was delayed
1009,251,963,8,5,3.8,The shipment was delayed
1010,138,668,5,4,2.5,The shipment was delayed
1011,182,266,4,3,2.67,The shipment was delayed
1012,121,598,5,3,3.33,The shipment was delayed
1014,273,887,9,5,4.0,Affordable prices and good quality products
1015,40,931,7,5,2.8,Product is available only in limited colors
1016,222,693,5,3,3.0,Product is available only in limited colors
1017,165,1147,9,5,3.2,The shipment was delayed
1018,185,1028,10,5,3.4,Product is available only in limited colors
1019,199,1012,8,5,3.8,Product is available only in limited colors
1020,81,859,8,3,4.0,Product is available only in limited colors
1021,137,1014,9,5,2.8,The shipment was delayed
1022,72,1387,9,5,3.6,Product is available only in limited colors
1023,297,858,7,3,3.67,The shipment was delayed
1024,292,781,6,5,3.6,Product is available only in limited colors
